id,wenzitext,errortext,clicktimes,tips1,tips2
253,不是花中偏爱菊，此花开尽更无花,7,3,元稹《菊花》,第一句是：不是花中偏爱菊
254,居高声自远，非是藉秋风,5,3,虞世南《蝉》,第一句是：居高声自远
255,万里悲秋常作客，百年多病独登台,7,3,杜甫《登高》,第一句是：万里悲秋常作客
256,春日游，杏花吹满头,4,3,韦庄《思帝乡·春日游》,春日踏青郊游，风吹杏花满头
257,相知无远近，万里尚为邻,5,3,张九龄《送韦城李少府》,知己挚友不分远近，相隔万里如同邻居
258,在天愿作比翼鸟，在地愿为连理枝,7,3,白居易《长恨歌》,在天愿为比翼双飞鸟，在地愿为并生连理枝
259,桃花流水窅然去，别有天地非人间,7,3,李白《山中问答》,桃花飘落溪水，随之远远流去
260,读书破万卷，下笔如有神,5,3,杜甫《奉赠韦左丞丈二十二韵》,先后读熟万卷书籍，写起文章如有神助
261,可怜夜半虚前席，不问苍生问鬼神,7,3,李商隐《贾生》,第一句是：可怜夜半虚前席
262,总为浮云能蔽日，长安不见使人愁,7,3,李白《登金陵凤凰台》,第一句是：总为浮云能蔽日
263,寄言燕雀莫相啅，自有云霄万里高,7,3,李白《观放白鹰二首》,老鹰说：别高兴太早，我迟早飞上万里云霄
264,若非群玉山头见，会向瑶台月下逢,7,3,李白《清平调·其一》,第一句是：若非群玉山头见
265,国破山河在，城春草木深,5,3,杜甫《春望》,第一句是：国破山河在
266,云横秦岭家何在？雪拥蓝关马不前,7,3,韩愈《左迁至蓝关示侄孙湘》,第一句是：云横秦岭家何在？雪拥蓝关马不前
267,晚年唯好静，万事不关心,5,3,王维《酬张少府》,人到晚年就特别喜好安静，对人间都漠不关心
268,关山难越，谁悲失路之人,5,3,王勃《滕王阁序》,关山重重难以越过，有谁同情我这不得志的人
269,新丰美酒斗十千，咸阳游侠多少年,7,3,王维《少年行四首》,第一句是：新丰美酒斗十千
270,仙人抚我顶，结发受长生,5,3,李白写给江夏韦太守的信,仙人为我抚顶，结受长生命符
271,此时相望不相闻，愿逐月华流照君,7,3,张若虚《春江花月夜》,第一句是：此时相望不相闻
272,萍水相逢，尽是他乡之客,5,3,《滕王阁序》中的句子,在这里相遇的都是他乡的客人
273,芳树无人花自落，春山一路鸟空啼,7,3,李华《春行即兴》,第一句是：芳树无人花自落
274,林暗草惊风，将军夜引弓,5,3,卢纶《和张仆射塞下曲·其二》,第一句是：林暗草惊风
275,人人尽说江南好，游人只合江南老,7,3,韦庄《菩萨蛮·人人尽说江南好》,第一句是：人人尽说江南好
276,烟笼寒水月笼沙，夜泊秦淮近酒家,7,3,杜牧《泊秦淮》,第一句是：烟笼寒水月笼沙
277,酒债寻常行处有，人生七十古来稀,7,3,杜甫《曲江二首》,第一句是：酒债寻常行处有
278,痛饮狂歌空度日，飞扬跋扈为谁雄,7,3,杜甫《赠李白》,第一句是：痛饮狂歌空度日
279,丈夫非无泪，不洒离别间,5,3,陆龟蒙《别离》,第一句是：丈夫非无泪
280,燕子不归春事晚，一汀烟雨杏花寒,7,3,戴叔伦《苏溪亭》,第一句是：燕子不归春事晚
281,鸡声茅店月，人迹板桥霜,5,3,温庭筠《商山早行》,第一句是：鸡声茅店月
282,丹青不知老将至，富贵于我如浮云,7,3,杜甫《丹青引赠曹将军霸》,第一句是：丹青不知老将至
283,世间行乐亦如此，古来万事东流水,7,3,李白《梦游天姥吟留别》,第一句是：世间行乐亦如此
284,历览前贤国与家，成由勤俭破由奢,7,3,李商隐《咏史》,第一句是：历览前贤国与家
285,清水出芙蓉，天然去雕饰,5,3,李白写给江夏韦太守的信,第一句是：清水出芙蓉
286,俱怀逸兴壮思飞，欲上青天揽明月,7,3,李白《宣州谢朓楼饯别校书叔云》,第一句是：俱怀逸兴壮思飞
287,凉风起天末，君子意如何,5,3,杜甫《天末怀李白》,从天边吹来阵阵凉风，你现在的心境怎么样呢
288,平林漠漠烟如织，寒山一带伤心碧,7,3,李白《菩萨蛮·平林漠漠烟如织》,第一句是：平林漠漠烟如织
289,青天有月来几时？我今停杯一问之,7,3,李白《把酒问月·故人贾淳令予问之》,青天上的明月是什么时候升起的
290,一年将尽夜，万里未归人,5,3,戴叔伦《除夜宿石头驿》,第一句是：一年将尽夜
291,巴山楚水凄凉地，二十三年弃置身,7,3,刘禹锡《酬乐天扬州初逢席上见赠》,第一句是：巴山楚水凄凉地
292,一枝秾艳露凝香，云雨巫山枉断肠,7,3,李白《清平调·其二》,第一句是：一枝秾艳露凝香
293,天意怜幽草，人间重晚晴,5,3,李商隐《晚晴》,第一句是：天意怜幽草
294,两句三年得，一吟双泪流,5,3,贾岛《题诗后》,第一句是：两句三年得
295,九曲黄河万里沙，浪淘风簸自天涯,7,3,刘禹锡《浪淘沙·其一》,第一句是：九曲黄河万里沙
296,杨柳青青江水平，闻郎江上唱歌声,7,3,刘禹锡《竹枝词二首·其一》,第一句是：杨柳青青江水平
297,欲将轻骑逐，大雪满弓刀,5,3,卢纶《塞下曲》,第一句是：欲将轻骑逐
298,花非花，雾非雾,3,3,白居易《花非花》,像花而不是花，似雾而不是雾
299,月下飞天镜，云生结海楼,5,3,李白《渡荆门送别》,第一句是：月下飞天镜
300,小时不识月，呼作白玉盘,5,3,李白《古朗月行》,第一句是：若待功成拂衣去
301,若待功成拂衣去，武陵桃花笑杀人,7,3,李白《当涂赵炎少府粉图山水歌》,第一句是：若待功成拂衣去
302,冠盖满京华，斯人独憔悴,5,3,杜甫《梦李白二首·其二》,京都的官僚们冠盖相续，你却是容颜憔悴
303,东风不与周郎便，铜雀春深锁二乔,7,3,杜牧《赤壁》,第一句是：东风不与周郎便
304,五陵年少金市东，银鞍白马度春风,7,3,李白《少年行二首》,第一句是：五陵年少金市东
305,周公恐惧流言日，王莽谦恭未篡时,7,3,白居易《放言五首·其三》,第一句是：周公恐惧流言日
306,千里黄云白日曛，北风吹雁雪纷纷,7,3,高适《别董大二首》,第一句是：千里黄云白日曛
307,杨花落尽子规啼，闻道龙标过五溪,7,3,李白《闻王昌龄左迁龙标遥有此寄》,第一句是：杨花落尽子规啼
308,如今却忆江南乐，当时年少春衫薄,7,3,韦庄《菩萨蛮·如今却忆江南乐》,第一句是：如今却忆江南乐
309,苦恨年年压金线，为他人作嫁衣裳,7,3,秦韬玉《贫女》,第一句是：苦恨年年压金线
310,长风万里送秋雁，对此可以酣高楼,7,3,李白《宣州谢朓楼饯别校书叔云》,第一句是：长风万里送秋雁
311,清明时节雨纷纷，路上行人欲断魂,7,3,杜牧《清明》,第一句是：清明时节雨纷纷
312,窗含西岭千秋雪，门泊东吴万里船,7,3,杜甫《绝句》,第一句是：窗含西岭千秋雪
313,相逢意气为君饮，系马高楼垂柳边,7,3,王维《少年行四首》,第一句是：相逢意气为君饮
314,只在此山中，云深不知处,5,3,贾岛《寻隐者不遇》,第一句是：只在此山中
315,日出扶桑一丈高，人间万事细如毛,7,3,刘叉《偶书》,第一句是：日出扶桑一丈高
316,独坐幽篁里，弹琴复长啸,5,3,王维《竹里馆》,独自闲坐在幽静竹林，一边弹琴一边高歌长啸
317,海日生残夜，江春入旧年,5,3,王湾《次北固山下》,第一句是：海日生残夜
318,燕山雪花大如席，片片吹落轩辕台,7,3,李白《北风行》,第一句是：燕山雪花大如席
319,草枯鹰眼疾，雪尽马蹄轻,5,3,王维《观猎》,第一句是：草枯鹰眼疾
320,细雨湿衣看不见，闲花落地听无声,7,3,刘长卿《别严士元》,第一句是：细雨湿衣看不见
321,朝辞白帝彩云间，千里江陵一日还,7,3,李白《早发白帝城》,第一句是：朝辞白帝彩云间
322,永忆江湖归白发，欲回天地入扁舟,7,3,李商隐《安定城楼》,第一句是：永忆江湖归白发
323,垆边人似月，皓腕凝霜雪,5,3,韦庄《菩萨蛮·人人尽说江南好》,第一句是：垆边人似月
324,扬子江头杨柳春，杨花愁杀渡江人,7,3,郑谷《淮上与友人别》,第一句是：扬子江头杨柳春
325,几处早莺争暖树，谁家新燕啄春泥,7,3,白居易《钱塘湖春行》,第一句是：几处早莺争暖树
326,同来望月人何处？风景依稀似去年,7,3,赵嘏《江楼感旧》,曾经与我一同来此赏景观月的人如今在何处
327,醉别江楼橘柚香，江风引雨入舟凉,7,3,王昌龄《送魏二》,第一句是：醉别江楼橘柚香
328,杨花榆荚无才思，惟解漫天作雪飞,7,3,韩愈《晚春》,第一句是：杨花榆荚无才思
329,多情却似总无情，唯觉尊前笑不成,7,3,杜牧《赠别二首·其二》,第一句是：多情却似总无情
330,慈母手中线，游子身上衣,5,3,孟郊《游子吟》,第一句是：慈母手中线
331,朱门酒肉臭，路有冻死骨,5,3,杜甫《自京赴奉先县咏怀五百字》,第一句是：朱门酒肉臭
332,江雨霏霏江草齐，六朝如梦鸟空啼,7,3,韦庄《台城》,第一句是：江雨霏霏江草齐
333,因过竹院逢僧话，又得浮生半日闲,7,3,李涉《题鹤林寺僧舍》,第一句是：因过竹院逢僧话
334,娉娉袅袅十三余，豆蔻梢头二月初,7,3,杜牧《赠别二首·其一》,第一句是：娉娉袅袅十三余
335,天若不爱酒，酒星不在天,5,3,李白《月下独酌四首》,天如果不爱酒，酒旗星就不会罗列在天
336,托身白刃里，杀人红尘中,5,3,李白《赠从兄襄阳少府皓》,第一句是：托身白刃里
337,兴来每独往，胜事空自知,5,3,王维《终南别业》,第一句是：兴来每独往
338,蜡烛有心还惜别，替人垂泪到天明,7,3,杜牧《赠别二首·其二》,第一句是：天地一逆旅
339,君自故乡来，应知故乡事,5,3,王维《杂诗三首·其二》,第一句是：不知近水花先发
340,不知细叶谁裁出，二月春风似剪刀,7,3,贺知章《咏柳》,不知道这细细的柳叶是谁裁剪出来的
341,陌上谁家年少足风流？,5,3,韦庄《思帝乡·春日游》,原野小径上是谁家少年，仪表堂堂、风度翩翩
342,天地一逆旅，同悲万古尘,5,3,李白《拟古十二首》,第一句是：天地一逆旅
343,不知近水花先发，疑是经冬雪未销,7,3,张谓《早梅》,第一句是：不知近水花先发
344,今夕复何夕，共此灯烛光,5,3,杜甫《赠卫八处士》,今夜如此幸运，能与你挑灯共叙衷情
345,晓看红湿处，花重锦官城,5,3,杜甫《春夜喜雨》,第一句是：晓看红湿处
346,可怜九月初三夜，露似真珠月似弓,7,3,白居易《暮江吟》,第一句是：可怜九月初三夜
347,令公桃李满天下，何用堂前更种花,7,3,白居易《奉和令公绿野堂种花》,第一句是：令公桃李满天下
348,一片花飞减却春，风飘万点正愁人,7,3,杜甫《曲江二首》,第一句是：一片花飞减却春
349,少小离家老大回，乡音无改鬓毛衰,7,3,贺知章《回乡偶书》,第一句是：少小离家老大回
350,战士军前半死生，美人帐下犹歌舞,7,3,高适《燕歌行·并序》,第一句是：战士军前半死生
351,远上寒山石径斜，白云生处有人家,7,3,杜牧《山行》,第一句是：远上寒山石径斜
352,我有迷魂招不得，雄鸡一声天下白,7,3,李贺《致酒行》,第一句是：我有迷魂招不得
353,天上白玉京，十二楼五城,5,3,李白写给江夏韦太守的信,天上宫阙，白玉京城，有十二楼阁，五座城池
354,白发三千丈，缘愁似个长,5,3,李白《秋浦歌十七首》,白发长达三千丈，是因为太过忧愁
355,黄鹤一去不复返，白云千载空悠悠,7,3,崔颢《黄鹤楼》,黄鹤一去也没有回来，千年来只看见白云悠悠
356,残星几点雁横塞，长笛一声人倚楼,7,3,赵嘏《长安晚秋》,大雁南飞越关塞，悠扬笛声里我独倚高楼
357,人家见生男女好，不知男女催人老,7,3,王建《短歌行》,第一句是：人家见生男女好
358,兴酣落笔摇五岳，诗成笑傲凌沧洲,7,3,李白《江上吟》,第一句是：兴酣落笔摇五岳
359,月出惊山鸟，时鸣春涧中,5,3,王维《鸟鸣涧》,第一句是：月出惊山鸟
360,独上江楼思渺然，月光如水水如天,7,3,赵嘏《江楼感旧》,第一句是：独上江楼思渺然
361,黄鹤楼中吹玉笛，江城五月落梅花,7,3,李白《与史郎中钦听黄鹤楼上吹笛》,第一句是：黄鹤楼中吹玉笛
362,昔日龌龊不足夸，今朝放荡思无涯,7,3,孟郊《登科后》,第一句是：昔日龌龊不足夸
363,为我一挥手，如听万壑松,5,3,李白《听蜀僧濬弹琴》,为我挥手弹奏名曲，仿佛听到万壑松涛声
364,一封朝奏九重天，夕贬潮州路八千,7,3,韩愈《左迁至蓝关示侄孙湘》,第一句是：一封朝奏九重天
365,王孙莫学多情客，自古多情损少年,7,3,温庭筠《和友人伤歌姬》,第一句是：王孙莫学多情客
366,山上层层桃李花，云间烟火是人家,7,3,刘禹锡《竹枝词九首·其九》,第一句是：山上层层桃李花
367,灯火万家城四畔，星河一道水中央,7,3,白居易《江楼夕望招客》,第一句是：灯火万家城四畔
368,人生在世不称意，明朝散发弄扁舟,7,3,李白《宣州谢朓楼饯别校书叔云》,第一句是：人生在世不称意
369,小山重叠金明灭，鬓云欲度香腮雪,7,3,温庭筠《菩萨蛮·小山重叠金明灭》,第一句是：小山重叠金明灭
370,阶下青苔与红树，雨中寥落月中愁,7,3,李商隐《端居》,第一句是：阶下青苔与红树
371,家国兴亡自有时，吴人何苦怨西施,7,3,罗隐《西施》,第一句是：家国兴亡自有时
372,众鸟高飞尽，孤云独去闲,5,3,李白《独坐敬亭山》,第一句是：众鸟高飞尽
373,且乐生前一杯酒，何须身后千载名,7,3,李白《行路难三首》,第一句是：且乐生前一杯酒
374,老来多健忘，唯不忘相思,5,3,白居易《偶作寄朗之》,第一句是：老来多健忘
375,白日何短短，百年苦易满,5,3,李白《短歌行》,第一句是：不才明主弃
376,不才明主弃，多病故人疏,5,3,孟浩然《岁暮归南山》,第一句是：不才明主弃
377,闲云潭影日悠悠，物换星移几度秋,7,3,王勃《滕王阁序》,第一句是：闲云潭影日悠悠
378,回眸一笑百媚生，六宫粉黛无颜色,7,3,白居易《长恨歌》,第一句是：回眸一笑百媚生
379,前不见古人，后不见来者,5,3,陈子昂《登幽州台歌》,第一句是：前不见古人
380,书山有路勤为径，学海无涯苦作舟,7,3,韩愈《对联》,第一句是：书山有路勤为径
381,共看明月应垂泪，一夜乡心五处同,7,3,白居易《望月有感》,第一句是：共看明月应垂泪
382,姑苏城外寒山寺，夜半钟声到客船,7,3,张继《枫桥夜泊》,第一句是：姑苏城外寒山寺
383,摇落深知宋玉悲，风流儒雅亦吾师,7,3,杜甫《咏怀古迹五首·其二》,第一句是：摇落深知宋玉悲
384,白日依山尽，黄河入海流,5,3,王之涣《登鹳雀楼》,第一句是：白日依山尽
385,两岸猿声啼不住，轻舟已过万重山,7,3,李白《早发白帝城》,第一句是：两岸猿声啼不住
386,三山半落青天外，二水中分白鹭洲,7,3,李白《登金陵凤凰台》,第一句是：三山半落青天外
387,登高壮观天地间，大江茫茫去不还,7,3,李白《庐山谣寄卢侍御虚舟》,第一句是：登高壮观天地间
388,笔落惊风雨，诗成泣鬼神,5,3,杜甫《寄李十二白二十韵》,第一句是：笔落惊风雨
389,空山不见人，但闻人语响,5,3,王维《鹿柴》,第一句是：空山不见人
